A-set	Car	Date	Date and Time	Event Name	Nearest Train Station	Metres to Train Station	Cityrail Line	Longitude	Latitude	Event Count	Signal Name	Numeric Snaphot 0 Value	BW Y/N	BW Year	Month
A05	N5305	4/08/2011	4/08/2011 12:13	TIM_Fault_50HzComponentDetection_Group1	Cardiff (SP4)	494.4410325	Newcastle & Central Coast Line	151.646042	-32.937458	1	SPEED	18	Yes	2011	8
A05	N5305	4/08/2011	4/08/2011 12:44	TIM_Fault_50HzComponentDetection_Group1	Cardiff (SP4)	491.1740209	Newcastle & Central Coast Line	151.64595	-32.9374886	1	SPEED	18	No	2011	8
A05	N5305	4/08/2011	4/08/2011 13:05	TIM_Fault_50HzComponentDetection_Group1	Cardiff (SP4)	486.4216212	Newcastle & Central Coast Line	151.647034	-32.9375229	1	SPEED	9	No	2011	8
A05	N5305	4/08/2011	4/08/2011 14:46	TIM_Fault_50HzComponentDetection_Group1	Cardiff (SP4)	519.0949845	Newcastle & Central Coast Line	151.644287	-32.9372482	1	SPEED	7	No	2011	8
A05	N5605	4/08/2011	4/08/2011 12:13	TIM_Fault_50HzComponentDetection_Group1	Cardiff (SP4)	494.4410325	Newcastle & Central Coast Line	151.646042	-32.937458	1	SPEED	18	No	2011	8
A05	N5605	4/08/2011	4/08/2011 12:44	TIM_Fault_50HzComponentDetection_Group1	Cardiff (SP4)	491.1740209	Newcastle & Central Coast Line	151.64595	-32.9374886	1	SPEED	18	No	2011	8
A05	N5605	4/08/2011	4/08/2011 13:05	TIM_Fault_50HzComponentDetection_Group1	Cardiff (SP4)	486.8661668	Newcastle & Central Coast Line	151.647003	-32.9375191	1	SPEED	10	No	2011	8
A05	N5605	4/08/2011	4/08/2011 14:46	TIM_Fault_50HzComponentDetection_Group1	Cardiff (SP4)	519.9560802	Newcastle & Central Coast Line	151.644257	-32.9372406	1	SPEED	7	No	2011	8
A05	N5305	6/08/2011	6/08/2011 12:58	TIM_Fault_50HzComponentDetection_Group1	Cardiff (SP4)	528.1282965	Newcastle & Central Coast Line	151.644882	-32.9371605	1	SPEED	8	Yes	2011	8
A05	N5605	6/08/2011	6/08/2011 12:58	TIM_Fault_50HzComponentDetection_Group1	Cardiff (SP4)	527.7399745	Newcastle & Central Coast Line	151.644852	-32.9371643	1	SPEED	9	No	2011	8
A05	N5305	8/08/2011	8/08/2011 9:59	TIM_Fault_50HzComponentDetection_Group1	Wyong	177.6407616	Newcastle & Central Coast Line	151.424774	-33.2871552	1	SPEED	11	Yes	2011	8
A05	N5305	8/08/2011	8/08/2011 11:03	TIM_Fault_50HzComponentDetection_Group1	Cardiff (SP4)	528.5714687	Newcastle & Central Coast Line	151.643158	-32.9371719	1	SPEED	16	No	2011	8
A05	N5305	8/08/2011	8/08/2011 13:06	TIM_Fault_50HzComponentDetection_Group1	Cardiff (SP4)	525.7045403	Newcastle & Central Coast Line	151.644791	-32.9371834	1	SPEED	7	No	2011	8
A05	N5605	8/08/2011	8/08/2011 9:59	TIM_Fault_50HzComponentDetection_Group1	Wyong	177.6407616	Newcastle & Central Coast Line	151.424774	-33.2871552	1	SPEED	11	No	2011	8
A05	N5605	8/08/2011	8/08/2011 11:03	TIM_Fault_50HzComponentDetection_Group1	Cardiff (SP4)	528.082845	Newcastle & Central Coast Line	151.643219	-32.9371758	1	SPEED	16	No	2011	8
A05	N5605	8/08/2011	8/08/2011 13:06	TIM_Fault_50HzComponentDetection_Group1	Cardiff (SP4)	525.7045403	Newcastle & Central Coast Line	151.644791	-32.9371834	1	SPEED	7	No	2011	8
A05	N5605	8/08/2011	8/08/2011 14:02	TIM_Fault_50HzComponentDetection_Group1	Tuggerah	1304.89004	Newcastle & Central Coast Line	151.415039	-33.3197327	1	SPEED	107	No	2011	8
A05	N5305	10/08/2011	10/08/2011 7:58	TIM_Fault_50HzComponentDetection_Group1	Cardiff (SP4)	531.8450448	Newcastle & Central Coast Line	151.644928	-32.9371262	1	SPEED	3	Yes	2011	8
A05	N5505	10/08/2011	10/08/2011 7:58	TIM_Fault_50HzComponentDetection_Group1	Cardiff (SP4)	531.8450448	Newcastle & Central Coast Line	151.644928	-32.9371262	1	SPEED	3	No	2011	8
A05	N5605	10/08/2011	10/08/2011 7:58	TIM_Fault_50HzComponentDetection_Group1	Cardiff (SP4)	531.8450448	Newcastle & Central Coast Line	151.644928	-32.9371262	1	SPEED	2	No	2011	8
A05	N5305	20/08/2011	20/08/2011 1:10	TIM_Fault_50HzComponentDetection_Group1	Doonside	933.063775	Western Line	150.880356	-33.7637863	1	SPEED	103	Yes	2011	8
A05	N5305	20/08/2011	20/08/2011 2:36	TIM_Fault_50HzComponentDetection_Group1	Doonside	688.1415649	Western Line	150.877151	-33.7633171	1	SPEED	98	No	2011	8
A05	N5305	20/08/2011	20/08/2011 2:57	TIM_Fault_50HzComponentDetection_Group1	Toongabbie	473.0313747	Cumberland Line	150.952118	-33.7915077	1	SPEED	79	No	2011	8
A05	N5305	20/08/2011	20/08/2011 2:57	TIM_Fault_50HzComponentDetection_Group1	Toongabbie	473.0313747	Western Line	150.952118	-33.7915077	1	SPEED	79	No	2011	8
A05	N5505	20/08/2011	20/08/2011 1:10	TIM_Fault_50HzComponentDetection_Group1	Doonside	933.063775	Western Line	150.880356	-33.7637863	1	SPEED	103	No	2011	8
A05	N5505	20/08/2011	20/08/2011 2:36	TIM_Fault_50HzComponentDetection_Group1	Doonside	777.5593197	Western Line	150.878326	-33.7634468	1	SPEED	99	No	2011	8
A05	N5505	20/08/2011	20/08/2011 2:57	TIM_Fault_50HzComponentDetection_Group1	Toongabbie	473.0313747	Cumberland Line	150.952118	-33.7915077	1	SPEED	79	No	2011	8
A05	N5505	20/08/2011	20/08/2011 2:57	TIM_Fault_50HzComponentDetection_Group1	Toongabbie	473.0313747	Western Line	150.952118	-33.7915077	1	SPEED	79	No	2011	8
A05	N5605	20/08/2011	20/08/2011 1:10	TIM_Fault_50HzComponentDetection_Group1	Doonside	956.6626259	Western Line	150.880661	-33.7638321	1	SPEED	103	No	2011	8
A05	N5605	20/08/2011	20/08/2011 2:57	TIM_Fault_50HzComponentDetection_Group1	Toongabbie	473.0313747	Cumberland Line	150.952118	-33.7915077	1	SPEED	78	No	2011	8
A05	N5605	20/08/2011	20/08/2011 2:57	TIM_Fault_50HzComponentDetection_Group1	Toongabbie	473.0313747	Western Line	150.952118	-33.7915077	1	SPEED	78	No	2011	8
A05	N5305	24/09/2011	24/09/2011 18:29	TIM_Fault_50HzComponentDetection_Group1	Bexley North	326.5307253	Airport & East Hills Line	151.116669	-33.9363174	1	SPEED	77	Yes	2011	9
